ビデオシリアル番号,AI解析結果,確認者,確認者名,確認日時,承認者,承認者名,承認日時,日付,管轄拠点,拠点名,カメラ名,レビュー件数,タイムスタンプ1,コメント1,レビュー1,レビュー日時1,備考1,タイムスタンプ2,コメント2,レビュー2,レビュー日時2,備考2,タイムスタンプ3,コメント3,レビュー3,レビュー日時3,備考3,タイムスタンプ4,コメント4,レビュー4,レビュー日時4,備考4,タイムスタンプ5,コメント5,レビュー5,レビュー日時5,備考5,タイムスタンプ6,コメント6,レビュー6,レビュー日時6,備考6,タイムスタンプ7,コメント7,レビュー7,レビュー日時7,備考7,タイムスタンプ8,コメント8,レビュー8,レビュー日時8,備考8,タイムスタンプ9,コメント9,レビュー9,レビュー日時9,備考9,タイムスタンプ10,コメント10,レビュー10,レビュー日時10,備考10
1049924,NG,NG,NQY-15,5/19/2026 11:06,,,,5/19/2026 10:00,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】5F Bブロック_EV_API,1,2:15,MissingHelmet,NQY-15,5/19/2026 11:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049910,NG,NG,NQY-01,5/19/2026 10:43,,,,5/19/2026 9:50,,高崎第３　メディカルロジスティクスセンター,○【高崎第3MLC】第5倉庫1階 出入口,1,5:13,MissingBib,NQY-01,5/19/2026 10:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049866,NG,NG,NQY-01,5/19/2026 10:49,,,,5/19/2026 9:50,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FC棟プラットフォーム02,1,0:05,MissingBib,NQY-01,5/19/2026 10:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049852,NG,NG,NQY-01,5/19/2026 10:52,,,,5/19/2026 9:50,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ７-API,1,6:00,MissingBib,NQY-01,5/19/2026 10:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049819,NG,NG,NQY-15,5/19/2026 10:55,,,,5/19/2026 9:50,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_入荷場1-API,1,4:31,MissingBib,NQY-15,5/19/2026 10:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049816,NG,NG,NQY-15,5/19/2026 10:54,,,,5/19/2026 9:50,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_出荷場5-API,1,3:39,MissingBib,NQY-15,5/19/2026 10:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049815,NG,NG,NQY-15,5/19/2026 10:54,,,,5/19/2026 9:50,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_冷所室2-API,1,5:14,MissingBib,NQY-15,5/19/2026 10:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049814,NG,NG,NQY-15,5/19/2026 10:53,,,,5/19/2026 9:50,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_入荷場3-API,1,0:47,MissingBib,NQY-15,5/19/2026 10:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049810,NG,NG,NQY-15,5/19/2026 10:53,,,,5/19/2026 9:50,,高崎第３　メディカルロジスティクスセンター,○【高崎第3MLC】第2倉庫2階 向精神薬・毒薬庫,1,0:31,MissingBib,NQY-15,5/19/2026 10:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049807,NG,NG,NQY-15,5/19/2026 10:52,,,,5/19/2026 9:50,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】5F Bブロック_出入口_API,1,7:41,MissingHelmet,NQY-15,5/19/2026 10:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049806,NG,NG,NQY-15,5/19/2026 10:52,,,,5/19/2026 9:50,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】5F Bブロック_EV_API,1,2:12,MissingHelmet,NQY-15,5/19/2026 10:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049802,NG,NG,NQY-01,5/19/2026 10:35,,,,5/19/2026 9:40,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】1F Bブロック_シートシャッター_API,1,5:59,MissingHelmet,NQY-01,5/19/2026 10:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049799,NG,NG,NQY-01,5/19/2026 10:36,,,,5/19/2026 9:40,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】4F Eブロック_EV_API,1,1:31,MissingHelmet,NQY-01,5/19/2026 10:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049792,NG,NG,NQY-01,5/19/2026 10:36,,,,5/19/2026 9:40,札幌営業所,札幌第２　メディカルロジスティクスセンター,○【旭運輸本社倉庫】4階保管エリア出入口,1,7:48,MissingBothHelmetAndBibs,NQY-01,5/19/2026 10:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049777,NG,NG,NQY-01,5/19/2026 10:39,,,,5/19/2026 9:40,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-6号倉庫-API,1,5:53,MissingBib,NQY-01,5/19/2026 10:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049757,NG,NG,NQY-15,5/19/2026 10:50,,,,5/19/2026 9:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FD棟プラットフォーム02,1,9:24,MissingBib,NQY-15,5/19/2026 10:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049754,NG,NG,NQY-15,5/19/2026 10:50,,,,5/19/2026 9:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1FC棟プラットフォーム02,1,7:23,MissingBib,NQY-15,5/19/2026 10:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049717,NG,NG,NQY-15,5/19/2026 10:44,,,,5/19/2026 9:40,関東支店,東京第１　メディカルロジスティクスセンター,●【首都圏中央】1F C棟_毒向薬庫,1,0:28,MissingHelmet,NQY-15,5/19/2026 10:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049709,NG,NG,NQY-15,5/19/2026 10:44,,,,5/19/2026 9:40,札幌営業所,札幌第１　メディカルロジスティクスセンター,●【札幌営業所】1F B棟_プラットフォーム3-API,1,4:31,MissingBib,NQY-15,5/19/2026 10:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049706,NG,NG,NQY-15,5/19/2026 10:43,,,,5/19/2026 9:40,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_出荷場5-API,1,0:06,MissingBib,NQY-15,5/19/2026 10:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049704,NG,NG,NQY-15,5/19/2026 10:43,,,,5/19/2026 9:40,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_冷所室2-API,1,1:49,MissingBib,NQY-15,5/19/2026 10:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049703,NG,NG,NQY-15,5/19/2026 10:43,,,,5/19/2026 9:40,関東支店,東京第２　メディカルロジスティクスセンター,●【首都圏第2】1F_出荷場6-API,1,4:18,MissingBib,NQY-15,5/19/2026 10:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049698,NG,NG,NQY-15,5/19/2026 10:42,,,,5/19/2026 9:40,,高崎第３　メディカルロジスティクスセンター,○【高崎第3MLC】第5倉庫1階 出入口,1,4:53,MissingBothHelmetAndBibs,NQY-15,5/19/2026 10:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049696,NG,NG,NQY-15,5/19/2026 10:42,,,,5/19/2026 9:40,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】5F Bブロック_EV_API,1,3:26,MissingHelmet,NQY-15,5/19/2026 10:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049693,NG,NG,NQY-15,5/19/2026 10:41,,,,5/19/2026 9:40,,高崎第３　メディカルロジスティクスセンター,○【高崎第3MLC】第2倉庫2階 向精神薬・毒薬庫,1,2:38,MissingBothHelmetAndBibs,NQY-15,5/19/2026 10:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049647,NG,NG,NQY-15,5/19/2026 10:36,,,,5/19/2026 9:30,関西支店,神戸第１　メディカルロジスティクスセンター,●【西日本LC】1Fプラットフォーム08-API,1,5:58,MissingHelmet,NQY-15,5/19/2026 10:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049644,NG,NG,NQY-15,5/19/2026 10:35,,,,5/19/2026 9:30,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-4号倉庫-API,1,9:17,MissingHelmet,NQY-15,5/19/2026 10:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049632,NG,,,,,,,5/19/2026 9:30,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ１-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049630,NG,,,,,,,5/19/2026 9:30,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ２-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
